[2024-03-18T06:45:29.230+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-18T06:40:31.356042+00:00 [queued]>
[2024-03-18T06:45:29.358+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-18T06:40:31.356042+00:00 [queued]>
[2024-03-18T06:45:29.369+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-03-18T06:45:29.661+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_2_task> on 2024-03-18 06:40:31.356042+00:00
[2024-03-18T06:45:29.707+0000] {standard_task_runner.py:60} INFO - Started process 465 to run task
[2024-03-18T06:45:29.777+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_2_task', 'manual__2024-03-18T06:40:31.356042+00:00', '--job-id', '246', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpg_ew7_9_']
[2024-03-18T06:45:29.867+0000] {standard_task_runner.py:88} INFO - Job 246: Subtask download_dataset_2_task
[2024-03-18T06:45:30.453+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-18T06:40:31.356042+00:00 [running]> on host 9958f290dc4a
[2024-03-18T06:45:32.915+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_2_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-18T06:40:31.356042+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-18T06:40:31.356042+00:00'
[2024-03-18T06:45:32.944+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-18T06:45:32.973+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_2.csv https://data.cityofchicago.org/resource/3i3m-jwuy.csv?\\$limit=300000']
[2024-03-18T06:45:33.293+0000] {subprocess.py:86} INFO - Output:
[2024-03-18T06:45:33.425+0000] {subprocess.py:93} INFO - --2024-03-18 06:45:33--  https://data.cityofchicago.org/resource/3i3m-jwuy.csv?$limit=300000
[2024-03-18T06:45:33.725+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.140.199, 52.206.68.26, ...
[2024-03-18T06:45:33.728+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-18T06:45:34.373+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-18T06:45:34.375+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-18T06:45:34.379+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_2.csv’
[2024-03-18T06:45:34.386+0000] {subprocess.py:93} INFO - 
[2024-03-18T06:45:34.472+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  511K
[2024-03-18T06:45:34.582+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  463K
[2024-03-18T06:45:34.586+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 11.2M
[2024-03-18T06:45:34.587+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 34.7M
[2024-03-18T06:45:34.696+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  452K
[2024-03-18T06:45:34.697+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  362M
[2024-03-18T06:45:34.698+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  351M
[2024-03-18T06:45:34.698+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 60.8M
[2024-03-18T06:45:34.806+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  471K
[2024-03-18T06:45:34.814+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  230M
[2024-03-18T06:45:34.819+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  527M
[2024-03-18T06:45:34.819+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 7.33M
[2024-03-18T06:45:34.823+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 12.1M
[2024-03-18T06:45:34.951+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  456K
[2024-03-18T06:45:34.989+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 7.33M
[2024-03-18T06:45:34.990+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  268M
[2024-03-18T06:45:34.990+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  342M
[2024-03-18T06:45:34.992+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  282M
[2024-03-18T06:45:34.996+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  353M
[2024-03-18T06:45:34.996+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  303M
[2024-03-18T06:45:34.997+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  258M
[2024-03-18T06:45:34.997+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  352M
[2024-03-18T06:45:35.003+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  364M
[2024-03-18T06:45:35.005+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  240M
[2024-03-18T06:45:35.005+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  371M
[2024-03-18T06:45:35.009+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  322M
[2024-03-18T06:45:35.062+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  577K
[2024-03-18T06:45:35.067+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 1.54M
[2024-03-18T06:45:35.068+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... .......... 45.9M
[2024-03-18T06:45:35.073+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  347M
[2024-03-18T06:45:35.105+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  377M
[2024-03-18T06:45:35.137+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... .......... 62.4M
[2024-03-18T06:45:35.153+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  263M
[2024-03-18T06:45:35.163+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  265M
[2024-03-18T06:45:35.170+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  132M
[2024-03-18T06:45:35.211+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  332M
[2024-03-18T06:45:35.220+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... .......... 98.5M
[2024-03-18T06:45:35.227+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... .......... 11.1M
[2024-03-18T06:45:35.229+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... .......... 26.4M
[2024-03-18T06:45:35.256+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... .......... 71.7M
[2024-03-18T06:45:35.319+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  471M
[2024-03-18T06:45:35.357+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... .......... 89.8M
[2024-03-18T06:45:35.386+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  504M
[2024-03-18T06:45:35.526+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  453M
[2024-03-18T06:45:35.544+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  166M
[2024-03-18T06:45:35.554+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  271K
[2024-03-18T06:45:35.602+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... .......... 5.86M
[2024-03-18T06:45:35.661+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... .......... 49.7M
[2024-03-18T06:45:35.672+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  272M
[2024-03-18T06:45:35.697+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... .......... 80.6M
[2024-03-18T06:45:35.712+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... .......... 4.68M
[2024-03-18T06:45:35.744+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... .......... 72.8M
[2024-03-18T06:45:35.748+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... .......... 22.9M
[2024-03-18T06:45:35.756+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... .......... 32.2M
[2024-03-18T06:45:35.779+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... .......... 33.3M
[2024-03-18T06:45:35.796+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... .......... 65.5M
[2024-03-18T06:45:35.804+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... .......... 32.3M
[2024-03-18T06:45:35.857+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... .......... 64.8M
[2024-03-18T06:45:35.864+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... .......... 97.8M
[2024-03-18T06:45:35.907+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... .......... 13.7M
[2024-03-18T06:45:35.969+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  105M
[2024-03-18T06:45:36.079+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  107M
[2024-03-18T06:45:36.121+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... .......... 61.1M
[2024-03-18T06:45:36.133+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... .......... 50.4M
[2024-03-18T06:45:36.158+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  332M
[2024-03-18T06:45:36.171+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  337M
[2024-03-18T06:45:36.181+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... .......... 1.33M
[2024-03-18T06:45:36.215+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  354M
[2024-03-18T06:45:36.236+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  181M
[2024-03-18T06:45:36.261+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  190M
[2024-03-18T06:45:36.297+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  390M
[2024-03-18T06:45:36.326+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  495M
[2024-03-18T06:45:36.329+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  526M
[2024-03-18T06:45:36.339+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  515M
[2024-03-18T06:45:36.363+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  461M
[2024-03-18T06:45:36.380+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  522M
[2024-03-18T06:45:36.386+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... ..........  217M
[2024-03-18T06:45:36.392+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... ..........  284M
[2024-03-18T06:45:36.405+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... ..........  285M
[2024-03-18T06:45:36.405+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... ..........  401M
[2024-03-18T06:45:36.412+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... ..........  369M
[2024-03-18T06:45:36.454+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... ..........  371M
[2024-03-18T06:45:36.461+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... ..........  240M
[2024-03-18T06:45:36.485+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... ..........  386M
[2024-03-18T06:45:36.491+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... ..........  311M
[2024-03-18T06:45:36.505+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... ..........  360M
[2024-03-18T06:45:36.519+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... ..........  305M
[2024-03-18T06:45:36.542+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... ..........  357M
[2024-03-18T06:45:36.550+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... ..........  193K
