[2024-03-18T07:56:34.403+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-18T06:40:31.356042+00:00 [queued]>
[2024-03-18T07:56:34.588+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-18T06:40:31.356042+00:00 [queued]>
[2024-03-18T07:56:34.590+0000] {taskinstance.py:2193} INFO - Starting attempt 3 of 3
[2024-03-18T07:56:34.668+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_3_task> on 2024-03-18 06:40:31.356042+00:00
[2024-03-18T07:56:34.696+0000] {standard_task_runner.py:60} INFO - Started process 1716 to run task
[2024-03-18T07:56:34.751+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_3_task', 'manual__2024-03-18T06:40:31.356042+00:00', '--job-id', '273', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpn888kccv']
[2024-03-18T07:56:34.758+0000] {standard_task_runner.py:88} INFO - Job 273: Subtask download_dataset_3_task
[2024-03-18T07:56:35.594+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-18T06:40:31.356042+00:00 [running]> on host 9958f290dc4a
[2024-03-18T07:56:36.730+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_3_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-18T06:40:31.356042+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-18T06:40:31.356042+00:00'
[2024-03-18T07:56:36.750+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-18T07:56:36.756+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_3.csv https://data.cityofchicago.org/resource/w98m-zvie.csv?\\$limit=300000']
[2024-03-18T07:56:37.039+0000] {subprocess.py:86} INFO - Output:
[2024-03-18T07:56:37.128+0000] {subprocess.py:93} INFO - --2024-03-18 07:56:37--  https://data.cityofchicago.org/resource/w98m-zvie.csv?$limit=300000
[2024-03-18T07:56:37.432+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-18T07:56:37.435+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-18T07:56:38.119+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-18T07:56:38.121+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-18T07:56:38.121+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_3.csv’
[2024-03-18T07:56:38.122+0000] {subprocess.py:93} INFO - 
[2024-03-18T07:56:38.228+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  458K
[2024-03-18T07:56:38.334+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  472K
[2024-03-18T07:56:38.448+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  440K
[2024-03-18T07:56:38.448+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  371M
[2024-03-18T07:56:38.579+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  390K
[2024-03-18T07:56:38.673+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 1.40M
[2024-03-18T07:56:38.681+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 1.09M
[2024-03-18T07:56:38.711+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 2.65M
[2024-03-18T07:56:38.726+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  455M
[2024-03-18T07:56:38.739+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 7.80M
[2024-03-18T07:56:38.746+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  486M
[2024-03-18T07:56:38.747+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  461M
[2024-03-18T07:56:38.772+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  569K
[2024-03-18T07:56:38.802+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... .......... 13.8M
[2024-03-18T07:56:38.805+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  453M
[2024-03-18T07:56:38.806+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  299M
[2024-03-18T07:56:38.807+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  444M
[2024-03-18T07:56:38.879+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  492K
[2024-03-18T07:56:38.887+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 4.05M
[2024-03-18T07:56:38.904+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 3.11M
[2024-03-18T07:56:38.905+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  155M
[2024-03-18T07:56:38.907+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  218M
[2024-03-18T07:56:38.909+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  386M
[2024-03-18T07:56:38.910+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  239M
[2024-03-18T07:56:38.912+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  296M
[2024-03-18T07:56:38.913+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  371M
[2024-03-18T07:56:38.921+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  383M
[2024-03-18T07:56:38.922+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  247M
[2024-03-18T07:56:38.924+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  359M
[2024-03-18T07:56:38.926+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  376M
[2024-03-18T07:56:38.929+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  389M
[2024-03-18T07:56:38.938+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  292M
[2024-03-18T07:56:39.012+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  588K
[2024-03-18T07:56:39.021+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... .......... 38.6M
[2024-03-18T07:56:39.022+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... .......... 7.03M
[2024-03-18T07:56:39.022+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... .......... 3.79M
[2024-03-18T07:56:39.026+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  322M
[2024-03-18T07:56:39.028+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  444M
[2024-03-18T07:56:39.029+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  529M
[2024-03-18T07:56:39.030+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  357M
[2024-03-18T07:56:39.032+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  257M
[2024-03-18T07:56:39.033+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  426M
[2024-03-18T07:56:39.036+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  247M
[2024-03-18T07:56:39.038+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  339M
[2024-03-18T07:56:39.039+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  473M
[2024-03-18T07:56:39.047+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  549M
[2024-03-18T07:56:39.048+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  463M
[2024-03-18T07:56:39.050+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  392M
[2024-03-18T07:56:39.064+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  437M
[2024-03-18T07:56:39.065+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  496M
