[2024-03-18T06:41:50.137+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_4_task manual__2024-03-18T06:40:31.356042+00:00 [queued]>
[2024-03-18T06:41:50.174+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_4_task manual__2024-03-18T06:40:31.356042+00:00 [queued]>
[2024-03-18T06:41:50.174+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-18T06:41:50.231+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_4_task> on 2024-03-18 06:40:31.356042+00:00
[2024-03-18T06:41:50.252+0000] {standard_task_runner.py:60} INFO - Started process 344 to run task
[2024-03-18T06:41:50.270+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_4_task', 'manual__2024-03-18T06:40:31.356042+00:00', '--job-id', '232', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmp6szb6o0_']
[2024-03-18T06:41:50.273+0000] {standard_task_runner.py:88} INFO - Job 232: Subtask download_dataset_4_task
[2024-03-18T06:41:50.432+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_4_task manual__2024-03-18T06:40:31.356042+00:00 [running]> on host 9958f290dc4a
[2024-03-18T06:41:51.246+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_4_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-18T06:40:31.356042+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-18T06:40:31.356042+00:00'
[2024-03-18T06:41:51.289+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-18T06:41:51.300+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_4.csv https://data.cityofchicago.org/resource/qzdf-xmn8.csv?\\$limit=300000']
[2024-03-18T06:41:51.465+0000] {subprocess.py:86} INFO - Output:
[2024-03-18T06:41:51.501+0000] {subprocess.py:93} INFO - --2024-03-18 06:41:51--  https://data.cityofchicago.org/resource/qzdf-xmn8.csv?$limit=300000
[2024-03-18T06:41:51.641+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-18T06:41:51.642+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-18T06:41:52.288+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-18T06:41:52.289+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-18T06:41:52.290+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_4.csv’
[2024-03-18T06:41:52.290+0000] {subprocess.py:93} INFO - 
[2024-03-18T06:41:52.398+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  455K
[2024-03-18T06:41:52.515+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  433K
[2024-03-18T06:41:52.616+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  494K
[2024-03-18T06:41:52.723+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  465K
[2024-03-18T06:41:52.724+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... .......... 20.6M
[2024-03-18T06:41:52.835+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  452K
[2024-03-18T06:41:52.947+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  445K
[2024-03-18T06:41:53.056+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  493K
[2024-03-18T06:41:53.058+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... .......... 6.44M
[2024-03-18T06:41:53.167+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  471K
[2024-03-18T06:41:53.261+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  508K
[2024-03-18T06:41:53.262+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 56.0M
[2024-03-18T06:41:53.370+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  462K
[2024-03-18T06:41:53.479+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  458K
[2024-03-18T06:41:53.588+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 3.26M
[2024-03-18T06:41:53.610+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  532K
[2024-03-18T06:41:53.729+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  369K
[2024-03-18T06:41:53.817+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  634K
[2024-03-18T06:41:53.823+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  230M
[2024-03-18T06:41:53.912+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  460K
[2024-03-18T06:41:53.914+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 74.0M
[2024-03-18T06:41:54.029+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  427K
[2024-03-18T06:41:54.130+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  495K
