[2024-03-18T07:56:45.647+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_4_task manual__2024-03-18T06:40:31.356042+00:00 [queued]>
[2024-03-18T07:56:45.981+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_4_task manual__2024-03-18T06:40:31.356042+00:00 [queued]>
[2024-03-18T07:56:45.981+0000] {taskinstance.py:2193} INFO - Starting attempt 3 of 3
[2024-03-18T07:56:46.132+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_4_task> on 2024-03-18 06:40:31.356042+00:00
[2024-03-18T07:56:46.139+0000] {standard_task_runner.py:60} INFO - Started process 1755 to run task
[2024-03-18T07:56:46.367+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_4_task', 'manual__2024-03-18T06:40:31.356042+00:00', '--job-id', '280', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmppm6aydvs']
[2024-03-18T07:56:46.410+0000] {standard_task_runner.py:88} INFO - Job 280: Subtask download_dataset_4_task
[2024-03-18T07:56:47.512+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_4_task manual__2024-03-18T06:40:31.356042+00:00 [running]> on host 9958f290dc4a
[2024-03-18T07:56:49.544+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_4_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-18T06:40:31.356042+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-18T06:40:31.356042+00:00'
[2024-03-18T07:56:49.548+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-18T07:56:49.555+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_4.csv https://data.cityofchicago.org/resource/qzdf-xmn8.csv?\\$limit=300000']
[2024-03-18T07:56:49.692+0000] {subprocess.py:86} INFO - Output:
[2024-03-18T07:56:49.725+0000] {subprocess.py:93} INFO - --2024-03-18 07:56:49--  https://data.cityofchicago.org/resource/qzdf-xmn8.csv?$limit=300000
[2024-03-18T07:56:49.839+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-18T07:56:49.842+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-18T07:56:50.465+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-18T07:56:50.465+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-18T07:56:50.466+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_4.csv’
[2024-03-18T07:56:50.466+0000] {subprocess.py:93} INFO - 
[2024-03-18T07:56:50.574+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  460K
[2024-03-18T07:56:50.680+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  470K
[2024-03-18T07:56:50.681+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 34.8M
[2024-03-18T07:56:50.682+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 44.9M
[2024-03-18T07:56:50.789+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  467K
[2024-03-18T07:56:50.791+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 32.2M
[2024-03-18T07:56:50.792+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 47.8M
[2024-03-18T07:56:50.798+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 51.4M
[2024-03-18T07:56:50.918+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  426K
[2024-03-18T07:56:50.919+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 6.80M
[2024-03-18T07:56:50.920+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  290M
[2024-03-18T07:56:50.930+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  337M
[2024-03-18T07:56:50.930+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  349M
[2024-03-18T07:56:51.004+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  584K
[2024-03-18T07:56:51.012+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 6.61M
[2024-03-18T07:56:51.012+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 79.8M
[2024-03-18T07:56:51.013+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  219M
[2024-03-18T07:56:51.013+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  440M
[2024-03-18T07:56:51.111+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  504K
[2024-03-18T07:56:51.149+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 2.57M
[2024-03-18T07:56:51.149+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  313M
[2024-03-18T07:56:51.150+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  360M
[2024-03-18T07:56:51.151+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  322M
[2024-03-18T07:56:51.152+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  435M
[2024-03-18T07:56:51.154+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  520M
[2024-03-18T07:56:51.155+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  517M
[2024-03-18T07:56:51.155+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  432M
[2024-03-18T07:56:51.223+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  542K
[2024-03-18T07:56:51.225+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... .......... 64.9M
[2024-03-18T07:56:51.227+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... .......... 57.2M
[2024-03-18T07:56:51.228+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... .......... 43.7M
[2024-03-18T07:56:51.229+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... .......... 23.1M
[2024-03-18T07:56:51.231+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... .......... 15.9M
[2024-03-18T07:56:51.240+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... .......... 57.5M
[2024-03-18T07:56:51.243+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... .......... 15.7M
[2024-03-18T07:56:51.253+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... .......... 9.18M
[2024-03-18T07:56:51.265+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... .......... 34.5M
[2024-03-18T07:56:51.329+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  576K
[2024-03-18T07:56:51.338+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... .......... 7.60M
[2024-03-18T07:56:51.340+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... .......... 8.87M
[2024-03-18T07:56:51.341+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  105M
[2024-03-18T07:56:51.341+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  130M
[2024-03-18T07:56:51.342+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  148M
[2024-03-18T07:56:51.342+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  190M
[2024-03-18T07:56:51.342+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  274M
[2024-03-18T07:56:51.343+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  224M
[2024-03-18T07:56:51.343+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  281M
[2024-03-18T07:56:51.435+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  544K
[2024-03-18T07:56:51.447+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... .......... 3.96M
[2024-03-18T07:56:51.448+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... .......... 36.0M
[2024-03-18T07:56:51.448+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  373M
