[2024-03-14T10:47:02.364+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_0_task scheduled__2024-03-13T00:00:00+00:00 [queued]>
[2024-03-14T10:47:02.409+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_0_task scheduled__2024-03-13T00:00:00+00:00 [queued]>
[2024-03-14T10:47:02.411+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-14T10:47:02.484+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_0_task> on 2024-03-13 00:00:00+00:00
[2024-03-14T10:47:02.492+0000] {standard_task_runner.py:60} INFO - Started process 81 to run task
[2024-03-14T10:47:02.520+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_0_task', 'scheduled__2024-03-13T00:00:00+00:00', '--job-id', '108', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpmm0cbmir']
[2024-03-14T10:47:02.535+0000] {standard_task_runner.py:88} INFO - Job 108: Subtask download_dataset_0_task
[2024-03-14T10:47:02.716+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_0_task scheduled__2024-03-13T00:00:00+00:00 [running]> on host 9958f290dc4a
[2024-03-14T10:47:03.024+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_0_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-13T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-13T00:00:00+00:00'
[2024-03-14T10:47:03.030+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-14T10:47:03.035+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_0.csv https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-03-14T10:47:03.053+0000] {subprocess.py:86} INFO - Output:
[2024-03-14T10:47:03.080+0000] {subprocess.py:93} INFO - --2024-03-14 10:47:03--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-03-14T10:47:03.240+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.140.205, 52.206.68.26
[2024-03-14T10:47:03.241+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-14T10:47:04.309+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-14T10:47:04.310+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-14T10:47:04.311+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_0.csv’
[2024-03-14T10:47:04.312+0000] {subprocess.py:93} INFO - 
[2024-03-14T10:47:04.417+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  466K
[2024-03-14T10:47:04.523+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  470K
[2024-03-14T10:47:04.528+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 11.0M
[2024-03-14T10:47:04.529+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 33.2M
[2024-03-14T10:47:04.633+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  490K
[2024-03-14T10:47:04.641+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 4.87M
[2024-03-14T10:47:04.642+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  463M
[2024-03-14T10:47:04.642+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  450M
[2024-03-14T10:47:04.744+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  489K
[2024-03-14T10:47:04.745+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  142M
[2024-03-14T10:47:04.746+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  115M
[2024-03-14T10:47:04.747+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  254M
[2024-03-14T10:47:04.748+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 12.8M
[2024-03-14T10:47:04.846+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  521K
[2024-03-14T10:47:04.867+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 5.34M
[2024-03-14T10:47:04.868+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 7.48M
[2024-03-14T10:47:04.869+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 34.2M
[2024-03-14T10:47:04.869+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  286M
[2024-03-14T10:47:04.870+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  399M
[2024-03-14T10:47:04.872+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  354M
[2024-03-14T10:47:04.873+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 28.6M
[2024-03-14T10:47:04.874+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 46.3M
[2024-03-14T10:47:04.874+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 27.3M
