[2024-03-14T11:11:28.135+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_1_task scheduled__2024-03-13T00:00:00+00:00 [queued]>
[2024-03-14T11:11:28.180+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_1_task scheduled__2024-03-13T00:00:00+00:00 [queued]>
[2024-03-14T11:11:28.181+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-03-14T11:11:28.245+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_1_task> on 2024-03-13 00:00:00+00:00
[2024-03-14T11:11:28.257+0000] {standard_task_runner.py:60} INFO - Started process 578 to run task
[2024-03-14T11:11:28.296+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_1_task', 'scheduled__2024-03-13T00:00:00+00:00', '--job-id', '123', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpydpzk72r']
[2024-03-14T11:11:28.306+0000] {standard_task_runner.py:88} INFO - Job 123: Subtask download_dataset_1_task
[2024-03-14T11:11:28.498+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_1_task scheduled__2024-03-13T00:00:00+00:00 [running]> on host 9958f290dc4a
[2024-03-14T11:11:28.906+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_1_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-13T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-13T00:00:00+00:00'
[2024-03-14T11:11:28.933+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-14T11:11:28.942+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_1.csv https://data.cityofchicago.org/resource/d62x-nvdr.csv?\\$limit=300000']
[2024-03-14T11:11:28.992+0000] {subprocess.py:86} INFO - Output:
[2024-03-14T11:11:29.003+0000] {subprocess.py:93} INFO - --2024-03-14 11:11:28--  https://data.cityofchicago.org/resource/d62x-nvdr.csv?$limit=300000
[2024-03-14T11:11:29.072+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.140.199, 52.206.68.26
[2024-03-14T11:11:29.079+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-14T11:11:30.075+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-14T11:11:30.076+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-14T11:11:30.076+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_1.csv’
[2024-03-14T11:11:30.077+0000] {subprocess.py:93} INFO - 
[2024-03-14T11:11:30.183+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  463K
[2024-03-14T11:11:30.299+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  433K
[2024-03-14T11:11:30.300+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  312M
[2024-03-14T11:11:30.300+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  460M
[2024-03-14T11:11:30.399+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  502K
[2024-03-14T11:11:30.404+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 9.35M
[2024-03-14T11:11:30.405+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  276M
[2024-03-14T11:11:30.412+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  210M
[2024-03-14T11:11:30.511+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  467K
[2024-03-14T11:11:30.512+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  211M
[2024-03-14T11:11:30.512+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  375M
[2024-03-14T11:11:30.512+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  192M
[2024-03-14T11:11:30.513+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  206M
[2024-03-14T11:11:30.626+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  436K
[2024-03-14T11:11:30.627+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  109M
[2024-03-14T11:11:30.628+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  149M
[2024-03-14T11:11:30.628+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  315M
[2024-03-14T11:11:30.628+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  282M
[2024-03-14T11:11:30.731+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  533K
[2024-03-14T11:11:30.747+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 11.0M
[2024-03-14T11:11:30.786+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 44.1M
[2024-03-14T11:11:30.787+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 1.61M
[2024-03-14T11:11:30.788+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 49.2M
[2024-03-14T11:11:30.789+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  416M
[2024-03-14T11:11:30.789+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  541M
[2024-03-14T11:11:30.790+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  502M
[2024-03-14T11:11:30.790+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  580M
[2024-03-14T11:11:30.790+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  464M
[2024-03-14T11:11:30.791+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  568M
[2024-03-14T11:11:30.791+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  535M
[2024-03-14T11:11:30.792+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  539M
[2024-03-14T11:11:30.792+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  305M
[2024-03-14T11:11:30.793+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  485M
[2024-03-14T11:11:30.848+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  703K
[2024-03-14T11:11:30.848+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... .......... 44.1M
[2024-03-14T11:11:30.849+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... .......... 30.4M
[2024-03-14T11:11:30.849+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... .......... 3.69M
[2024-03-14T11:11:30.850+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  358M
[2024-03-14T11:11:30.850+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  348M
[2024-03-14T11:11:30.850+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  205M
[2024-03-14T11:11:30.851+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... .......... 26.1M
[2024-03-14T11:11:30.897+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... .......... 1.43M
[2024-03-14T11:11:30.904+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... .......... 3.27M
[2024-03-14T11:11:30.905+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... .......... 14.9M
[2024-03-14T11:11:30.905+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  523M
[2024-03-14T11:11:30.905+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  521M
[2024-03-14T11:11:30.906+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  561M
[2024-03-14T11:11:30.906+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... .......... 98.3M
[2024-03-14T11:11:30.906+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  493M
[2024-03-14T11:11:30.907+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... .......... 19.8M
[2024-03-14T11:11:30.918+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  230M
[2024-03-14T11:11:30.948+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... .......... 1.12M
[2024-03-14T11:11:30.970+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... .......... 2.27M
[2024-03-14T11:11:30.972+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... .......... 40.3M
[2024-03-14T11:11:30.972+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  134M
[2024-03-14T11:11:30.974+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... .......... 97.8M
[2024-03-14T11:11:30.974+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... .......... 68.4M
[2024-03-14T11:11:30.975+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... .......... 90.0M
[2024-03-14T11:11:30.976+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... .......... 47.1M
[2024-03-14T11:11:30.976+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... .......... 78.8M
[2024-03-14T11:11:30.977+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... .......... 77.8M
[2024-03-14T11:11:30.977+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... .......... 92.8M
[2024-03-14T11:11:30.977+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  415M
[2024-03-14T11:11:31.016+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... .......... 1.21M
[2024-03-14T11:11:31.019+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... .......... 20.8M
[2024-03-14T11:11:31.030+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... .......... 4.13M
[2024-03-14T11:11:31.043+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... .......... 4.01M
[2024-03-14T11:11:31.052+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... .......... 5.62M
[2024-03-14T11:11:31.058+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... .......... 14.8M
[2024-03-14T11:11:31.058+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... .......... 17.5M
[2024-03-14T11:11:31.059+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... .......... 48.9M
[2024-03-14T11:11:31.066+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... .......... 6.89M
[2024-03-14T11:11:31.087+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... .......... 2.24M
[2024-03-14T11:11:31.088+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... .......... 48.0M
[2024-03-14T11:11:31.126+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... .......... 1.30M
[2024-03-14T11:11:31.127+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... .......... 49.0M
[2024-03-14T11:11:31.152+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... .......... 1.96M
[2024-03-14T11:11:31.154+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... .......... 31.1M
[2024-03-14T11:11:31.192+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... .......... 1.27M
[2024-03-14T11:11:31.193+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... .......... 43.4M
[2024-03-14T11:11:31.222+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... .......... 1.66M
[2024-03-14T11:11:31.223+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... ..........  277M
[2024-03-14T11:11:31.223+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... ..........  282M
[2024-03-14T11:11:31.260+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... .......... 1.30M
[2024-03-14T11:11:31.262+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... ..........  382M
[2024-03-14T11:11:31.292+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... .......... 1.56M
[2024-03-14T11:11:31.292+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... ..........  306M
[2024-03-14T11:11:31.321+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... .......... 1.71M
[2024-03-14T11:11:31.322+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... .......... 31.3M
[2024-03-14T11:11:31.361+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... .......... 1.25M
[2024-03-14T11:11:31.361+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... ..........  310M
[2024-03-14T11:11:31.362+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... ..........  391M
[2024-03-14T11:11:31.391+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... .......... 1.65M
[2024-03-14T11:11:31.392+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... ..........  219M
[2024-03-14T11:11:31.435+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... .......... 1.11M
[2024-03-14T11:11:31.436+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... ..........  493M
[2024-03-14T11:11:31.459+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... .......... 2.05M
[2024-03-14T11:11:31.461+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... ..........  348M
[2024-03-14T11:11:31.496+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... .......... 1.35M
[2024-03-14T11:11:31.496+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... ..........  214M
[2024-03-14T11:11:31.497+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... ..........  302M
[2024-03-14T11:11:31.525+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 1.71M
[2024-03-14T11:11:31.553+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 1.77M
[2024-03-14T11:11:31.554+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 27.7M
[2024-03-14T11:11:31.596+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 1.18M
[2024-03-14T11:11:31.598+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 26.3M
[2024-03-14T11:11:31.598+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... ..........  220M
[2024-03-14T11:11:31.620+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 2.15M
[2024-03-14T11:11:31.621+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... ..........  384M
[2024-03-14T11:11:31.667+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 1.04M
[2024-03-14T11:11:31.671+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... ..........  282M
[2024-03-14T11:11:31.691+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 2.07M
[2024-03-14T11:11:31.693+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 23.6M
[2024-03-14T11:11:31.729+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 1.37M
