[2024-03-14T11:11:27.912+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_2_task scheduled__2024-03-13T00:00:00+00:00 [queued]>
[2024-03-14T11:11:27.975+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_2_task scheduled__2024-03-13T00:00:00+00:00 [queued]>
[2024-03-14T11:11:27.975+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-03-14T11:11:28.091+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_2_task> on 2024-03-13 00:00:00+00:00
[2024-03-14T11:11:28.127+0000] {standard_task_runner.py:60} INFO - Started process 577 to run task
[2024-03-14T11:11:28.144+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_2_task', 'scheduled__2024-03-13T00:00:00+00:00', '--job-id', '121', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmppylxkizx']
[2024-03-14T11:11:28.162+0000] {standard_task_runner.py:88} INFO - Job 121: Subtask download_dataset_2_task
[2024-03-14T11:11:28.259+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_2_task scheduled__2024-03-13T00:00:00+00:00 [running]> on host 9958f290dc4a
[2024-03-14T11:11:28.658+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_2_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-13T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-13T00:00:00+00:00'
[2024-03-14T11:11:28.671+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-14T11:11:28.685+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_2.csv https://data.cityofchicago.org/resource/3i3m-jwuy.csv?\\$limit=300000']
[2024-03-14T11:11:28.803+0000] {subprocess.py:86} INFO - Output:
[2024-03-14T11:11:28.868+0000] {subprocess.py:93} INFO - --2024-03-14 11:11:28--  https://data.cityofchicago.org/resource/3i3m-jwuy.csv?$limit=300000
[2024-03-14T11:11:29.072+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.140.199, 52.206.68.26
[2024-03-14T11:11:29.078+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-14T11:11:30.171+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-14T11:11:30.171+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-14T11:11:30.172+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_2.csv’
[2024-03-14T11:11:30.172+0000] {subprocess.py:93} INFO - 
[2024-03-14T11:11:30.282+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  453K
[2024-03-14T11:11:30.398+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  429K
[2024-03-14T11:11:30.399+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  306M
[2024-03-14T11:11:30.506+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  460K
[2024-03-14T11:11:30.627+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  415K
[2024-03-14T11:11:30.733+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  475K
[2024-03-14T11:11:30.853+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 13.5M
[2024-03-14T11:11:30.872+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  425K
[2024-03-14T11:11:30.969+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  443K
[2024-03-14T11:11:31.065+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  515K
[2024-03-14T11:11:31.066+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 21.3M
[2024-03-14T11:11:31.176+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  455K
[2024-03-14T11:11:31.288+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  446K
[2024-03-14T11:11:31.293+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... .......... 41.6M
[2024-03-14T11:11:31.400+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  454K
[2024-03-14T11:11:31.514+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  434K
[2024-03-14T11:11:31.515+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  209M
[2024-03-14T11:11:31.623+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  461K
[2024-03-14T11:11:31.670+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 1.04M
[2024-03-14T11:11:31.735+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  765K
[2024-03-14T11:11:31.846+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  451K
[2024-03-14T11:11:31.848+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 29.4M
[2024-03-14T11:11:31.963+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  437K
