[2024-03-14T10:47:02.851+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_3_task scheduled__2024-03-13T00:00:00+00:00 [queued]>
[2024-03-14T10:47:02.884+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_3_task scheduled__2024-03-13T00:00:00+00:00 [queued]>
[2024-03-14T10:47:02.892+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-14T10:47:02.988+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_3_task> on 2024-03-13 00:00:00+00:00
[2024-03-14T10:47:03.000+0000] {standard_task_runner.py:60} INFO - Started process 85 to run task
[2024-03-14T10:47:03.031+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_3_task', 'scheduled__2024-03-13T00:00:00+00:00', '--job-id', '110', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmp9qtt8zk9']
[2024-03-14T10:47:03.039+0000] {standard_task_runner.py:88} INFO - Job 110: Subtask download_dataset_3_task
[2024-03-14T10:47:03.156+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_3_task scheduled__2024-03-13T00:00:00+00:00 [running]> on host 9958f290dc4a
[2024-03-14T10:47:03.278+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_3_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-13T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-13T00:00:00+00:00'
[2024-03-14T10:47:03.280+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-14T10:47:03.281+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_3.csv https://data.cityofchicago.org/resource/w98m-zvie.csv?\\$limit=300000']
[2024-03-14T10:47:03.294+0000] {subprocess.py:86} INFO - Output:
[2024-03-14T10:47:03.298+0000] {subprocess.py:93} INFO - --2024-03-14 10:47:03--  https://data.cityofchicago.org/resource/w98m-zvie.csv?$limit=300000
[2024-03-14T10:47:03.314+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.140.205, 52.206.68.26
[2024-03-14T10:47:03.315+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-14T10:47:04.476+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-14T10:47:04.477+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-14T10:47:04.478+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_3.csv’
[2024-03-14T10:47:04.478+0000] {subprocess.py:93} INFO - 
[2024-03-14T10:47:04.593+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  431K
[2024-03-14T10:47:04.701+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  465K
[2024-03-14T10:47:04.813+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  446K
[2024-03-14T10:47:04.814+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 23.4M
[2024-03-14T10:47:04.815+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  415M
[2024-03-14T10:47:04.929+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  436K
[2024-03-14T10:47:04.932+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 29.8M
[2024-03-14T10:47:04.933+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 79.9M
[2024-03-14T10:47:04.934+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... .......... 28.7M
[2024-03-14T10:47:05.046+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  446K
[2024-03-14T10:47:05.083+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 3.16M
[2024-03-14T10:47:05.083+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  119M
[2024-03-14T10:47:05.085+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 6.98M
[2024-03-14T10:47:05.088+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  147M
[2024-03-14T10:47:05.165+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  534K
[2024-03-14T10:47:05.173+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 5.36M
[2024-03-14T10:47:05.175+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  319M
[2024-03-14T10:47:05.175+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  370M
[2024-03-14T10:47:05.175+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  382M
[2024-03-14T10:47:05.176+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  354M
[2024-03-14T10:47:05.176+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  273M
[2024-03-14T10:47:05.176+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 19.3M
[2024-03-14T10:47:05.177+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 50.4M
