[2024-03-14T10:47:02.475+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_4_task scheduled__2024-03-13T00:00:00+00:00 [queued]>
[2024-03-14T10:47:02.503+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_4_task scheduled__2024-03-13T00:00:00+00:00 [queued]>
[2024-03-14T10:47:02.504+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-14T10:47:02.566+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_4_task> on 2024-03-13 00:00:00+00:00
[2024-03-14T10:47:02.593+0000] {standard_task_runner.py:60} INFO - Started process 83 to run task
[2024-03-14T10:47:02.614+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_4_task', 'scheduled__2024-03-13T00:00:00+00:00', '--job-id', '109', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpk0v8sqt3']
[2024-03-14T10:47:02.618+0000] {standard_task_runner.py:88} INFO - Job 109: Subtask download_dataset_4_task
[2024-03-14T10:47:02.851+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_4_task scheduled__2024-03-13T00:00:00+00:00 [running]> on host 9958f290dc4a
[2024-03-14T10:47:03.185+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_4_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-13T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-13T00:00:00+00:00'
[2024-03-14T10:47:03.188+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-14T10:47:03.190+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_4.csv https://data.cityofchicago.org/resource/qzdf-xmn8.csv?\\$limit=300000']
[2024-03-14T10:47:03.206+0000] {subprocess.py:86} INFO - Output:
[2024-03-14T10:47:03.212+0000] {subprocess.py:93} INFO - --2024-03-14 10:47:03--  https://data.cityofchicago.org/resource/qzdf-xmn8.csv?$limit=300000
[2024-03-14T10:47:03.230+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.140.205, 52.206.68.26
[2024-03-14T10:47:03.239+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-14T10:47:04.290+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-14T10:47:04.291+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-14T10:47:04.292+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_4.csv’
[2024-03-14T10:47:04.292+0000] {subprocess.py:93} INFO - 
[2024-03-14T10:47:04.402+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  450K
[2024-03-14T10:47:04.512+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  455K
[2024-03-14T10:47:04.625+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  442K
[2024-03-14T10:47:04.735+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  454K
[2024-03-14T10:47:04.740+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... .......... 8.71M
[2024-03-14T10:47:04.860+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  420K
[2024-03-14T10:47:04.991+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  418K
[2024-03-14T10:47:05.982+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 49.9K
[2024-03-14T10:47:06.316+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  149K
[2024-03-14T10:47:06.431+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  446K
[2024-03-14T10:47:06.542+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  441K
[2024-03-14T10:47:06.667+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  396K
[2024-03-14T10:47:06.669+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 38.8M
[2024-03-14T10:47:06.779+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  454K
[2024-03-14T10:47:06.998+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  456K
[2024-03-14T10:47:06.999+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  451K
[2024-03-14T10:47:07.110+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  451K
[2024-03-14T10:47:07.221+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  450K
[2024-03-14T10:47:07.333+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  451K
[2024-03-14T10:47:07.446+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  451K
[2024-03-14T10:47:07.554+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  454K
[2024-03-14T10:47:07.663+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  455K
[2024-03-14T10:47:07.774+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  456K
[2024-03-14T10:47:07.884+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  450K
[2024-03-14T10:47:07.890+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... .......... 8.09M
[2024-03-14T10:47:08.008+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  422K
[2024-03-14T10:47:08.109+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  498K
