[2024-03-14T11:11:28.267+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_4_task scheduled__2024-03-13T00:00:00+00:00 [queued]>
[2024-03-14T11:11:28.312+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_4_task scheduled__2024-03-13T00:00:00+00:00 [queued]>
[2024-03-14T11:11:28.316+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-03-14T11:11:28.393+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_4_task> on 2024-03-13 00:00:00+00:00
[2024-03-14T11:11:28.400+0000] {standard_task_runner.py:60} INFO - Started process 581 to run task
[2024-03-14T11:11:28.428+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_4_task', 'scheduled__2024-03-13T00:00:00+00:00', '--job-id', '125', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpq7mn0ais']
[2024-03-14T11:11:28.433+0000] {standard_task_runner.py:88} INFO - Job 125: Subtask download_dataset_4_task
[2024-03-14T11:11:28.635+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_4_task scheduled__2024-03-13T00:00:00+00:00 [running]> on host 9958f290dc4a
[2024-03-14T11:11:28.976+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_4_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-13T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-13T00:00:00+00:00'
[2024-03-14T11:11:28.978+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-14T11:11:28.982+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_4.csv https://data.cityofchicago.org/resource/qzdf-xmn8.csv?\\$limit=300000']
[2024-03-14T11:11:29.029+0000] {subprocess.py:86} INFO - Output:
[2024-03-14T11:11:29.035+0000] {subprocess.py:93} INFO - --2024-03-14 11:11:29--  https://data.cityofchicago.org/resource/qzdf-xmn8.csv?$limit=300000
[2024-03-14T11:11:29.071+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.140.199, 52.206.68.26
[2024-03-14T11:11:29.073+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-14T11:11:30.016+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-14T11:11:30.017+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-14T11:11:30.017+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_4.csv’
[2024-03-14T11:11:30.018+0000] {subprocess.py:93} INFO - 
[2024-03-14T11:11:30.125+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  461K
[2024-03-14T11:11:30.233+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  463K
[2024-03-14T11:11:30.342+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  459K
[2024-03-14T11:11:30.450+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  461K
[2024-03-14T11:11:30.451+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  140M
[2024-03-14T11:11:30.558+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  465K
[2024-03-14T11:11:30.674+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  430K
[2024-03-14T11:11:30.782+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  465K
[2024-03-14T11:11:30.885+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  490K
[2024-03-14T11:11:30.903+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 6.22M
[2024-03-14T11:11:30.993+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  496K
[2024-03-14T11:11:31.102+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  463K
[2024-03-14T11:11:31.104+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 17.2M
[2024-03-14T11:11:31.218+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  436K
[2024-03-14T11:11:31.317+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  506K
[2024-03-14T11:11:31.322+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 25.5M
[2024-03-14T11:11:31.428+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  458K
[2024-03-14T11:11:31.538+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  453K
[2024-03-14T11:11:31.540+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  312M
[2024-03-14T11:11:31.642+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  482K
[2024-03-14T11:11:31.749+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  467K
[2024-03-14T11:11:31.750+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 57.1M
[2024-03-14T11:11:31.859+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  457K
