[2024-03-18T06:40:28.354+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_0_task scheduled__2024-03-17T00:00:00+00:00 [queued]>
[2024-03-18T06:40:28.437+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_0_task scheduled__2024-03-17T00:00:00+00:00 [queued]>
[2024-03-18T06:40:28.441+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-18T06:40:28.529+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_0_task> on 2024-03-17 00:00:00+00:00
[2024-03-18T06:40:28.560+0000] {standard_task_runner.py:60} INFO - Started process 170 to run task
[2024-03-18T06:40:28.613+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_0_task', 'scheduled__2024-03-17T00:00:00+00:00', '--job-id', '186', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpueya47ec']
[2024-03-18T06:40:28.637+0000] {standard_task_runner.py:88} INFO - Job 186: Subtask download_dataset_0_task
[2024-03-18T06:40:28.965+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_0_task scheduled__2024-03-17T00:00:00+00:00 [running]> on host 9958f290dc4a
[2024-03-18T06:40:29.971+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_0_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-17T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-17T00:00:00+00:00'
[2024-03-18T06:40:30.001+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-18T06:40:30.034+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_0.csv https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-03-18T06:40:30.303+0000] {subprocess.py:86} INFO - Output:
[2024-03-18T06:40:30.506+0000] {subprocess.py:93} INFO - --2024-03-18 06:40:30--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-03-18T06:40:31.583+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.199, 52.206.140.205
[2024-03-18T06:40:31.589+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-18T06:40:34.403+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-18T06:40:34.411+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-18T06:40:34.441+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_0.csv’
[2024-03-18T06:40:34.455+0000] {subprocess.py:93} INFO - 
[2024-03-18T06:40:34.495+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  569K
[2024-03-18T06:40:34.610+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  442K
[2024-03-18T06:40:34.623+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 12.8M
[2024-03-18T06:40:34.629+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  288M
[2024-03-18T06:40:34.725+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  435K
[2024-03-18T06:40:34.726+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  439M
[2024-03-18T06:40:34.727+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  195M
[2024-03-18T06:40:34.730+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  447M
[2024-03-18T06:40:34.828+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  488K
[2024-03-18T06:40:34.836+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 7.35M
[2024-03-18T06:40:34.837+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  314M
[2024-03-18T06:40:34.838+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  327M
[2024-03-18T06:40:34.840+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  282M
[2024-03-18T06:40:34.941+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  483K
[2024-03-18T06:40:34.947+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 5.95M
[2024-03-18T06:40:34.948+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  365M
[2024-03-18T06:40:34.948+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  470M
[2024-03-18T06:40:34.949+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  479M
[2024-03-18T06:40:35.055+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  469K
[2024-03-18T06:40:35.066+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 4.16M
[2024-03-18T06:40:35.094+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  292M
[2024-03-18T06:40:35.095+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 1.94M
[2024-03-18T06:40:35.095+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 71.3M
