[2024-03-18T06:40:29.321+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_1_task scheduled__2024-03-17T00:00:00+00:00 [queued]>
[2024-03-18T06:40:29.416+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_1_task scheduled__2024-03-17T00:00:00+00:00 [queued]>
[2024-03-18T06:40:29.426+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-18T06:40:29.628+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_1_task> on 2024-03-17 00:00:00+00:00
[2024-03-18T06:40:29.731+0000] {standard_task_runner.py:60} INFO - Started process 171 to run task
[2024-03-18T06:40:29.803+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_1_task', 'scheduled__2024-03-17T00:00:00+00:00', '--job-id', '187', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpz5gu0w3f']
[2024-03-18T06:40:29.830+0000] {standard_task_runner.py:88} INFO - Job 187: Subtask download_dataset_1_task
[2024-03-18T06:40:30.453+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_1_task scheduled__2024-03-17T00:00:00+00:00 [running]> on host 9958f290dc4a
[2024-03-18T06:40:31.816+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_1_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-17T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-17T00:00:00+00:00'
[2024-03-18T06:40:31.917+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-18T06:40:31.946+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_1.csv https://data.cityofchicago.org/resource/d62x-nvdr.csv?\\$limit=300000']
[2024-03-18T06:40:32.247+0000] {subprocess.py:86} INFO - Output:
[2024-03-18T06:40:32.351+0000] {subprocess.py:93} INFO - --2024-03-18 06:40:32--  https://data.cityofchicago.org/resource/d62x-nvdr.csv?$limit=300000
[2024-03-18T06:40:32.452+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.199, 52.206.140.205
[2024-03-18T06:40:32.455+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-18T06:40:34.298+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-18T06:40:34.300+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-18T06:40:34.300+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_1.csv’
[2024-03-18T06:40:34.301+0000] {subprocess.py:93} INFO - 
[2024-03-18T06:40:34.410+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  448K
[2024-03-18T06:40:34.520+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  456K
[2024-03-18T06:40:34.642+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  408K
[2024-03-18T06:40:34.744+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  493K
[2024-03-18T06:40:34.744+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  464M
[2024-03-18T06:40:34.855+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  449K
[2024-03-18T06:40:34.964+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  458K
[2024-03-18T06:40:35.090+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  401K
[2024-03-18T06:40:35.091+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... .......... 93.8M
[2024-03-18T06:40:35.199+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  458K
[2024-03-18T06:40:35.296+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  515K
[2024-03-18T06:40:35.296+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  200M
[2024-03-18T06:40:35.409+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  443K
[2024-03-18T06:40:35.540+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  446K
[2024-03-18T06:40:35.548+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 2.58M
[2024-03-18T06:40:35.629+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  563K
[2024-03-18T06:40:35.739+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  454K
[2024-03-18T06:40:35.740+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 45.0M
[2024-03-18T06:40:35.848+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  463K
[2024-03-18T06:40:35.958+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  454K
[2024-03-18T06:40:35.960+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 29.4M
[2024-03-18T06:40:36.069+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  457K
[2024-03-18T06:40:36.182+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 26.0M
[2024-03-18T06:40:36.184+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  446K
[2024-03-18T06:40:36.293+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  453K
[2024-03-18T06:40:36.294+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 64.8M
[2024-03-18T06:40:36.401+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  468K
[2024-03-18T06:40:36.402+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 48.0M
[2024-03-18T06:40:36.513+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  449K
[2024-03-18T06:40:36.623+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  455K
[2024-03-18T06:40:36.625+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... .......... 43.7M
[2024-03-18T06:40:36.741+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  429K
[2024-03-18T06:40:36.846+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  487K
[2024-03-18T06:40:36.846+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... .......... 16.0M
[2024-03-18T06:40:36.955+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  463K
[2024-03-18T06:40:36.960+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... .......... 8.64M
[2024-03-18T06:40:37.074+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  438K
[2024-03-18T06:40:37.076+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... .......... 27.3M
[2024-03-18T06:40:37.177+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  498K
[2024-03-18T06:40:37.292+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  450K
[2024-03-18T06:40:37.294+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... .......... 8.40M
[2024-03-18T06:40:37.400+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  469K
[2024-03-18T06:40:37.495+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  528K
[2024-03-18T06:40:37.511+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... .......... 3.05M
