[2024-03-18T06:40:34.048+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_2_task scheduled__2024-03-17T00:00:00+00:00 [queued]>
[2024-03-18T06:40:34.142+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_2_task scheduled__2024-03-17T00:00:00+00:00 [queued]>
[2024-03-18T06:40:34.154+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-18T06:40:34.375+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_2_task> on 2024-03-17 00:00:00+00:00
[2024-03-18T06:40:34.415+0000] {standard_task_runner.py:60} INFO - Started process 197 to run task
[2024-03-18T06:40:34.446+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_2_task', 'scheduled__2024-03-17T00:00:00+00:00', '--job-id', '200', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmp0gb0kxey']
[2024-03-18T06:40:34.450+0000] {standard_task_runner.py:88} INFO - Job 200: Subtask download_dataset_2_task
[2024-03-18T06:40:35.266+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_2_task scheduled__2024-03-17T00:00:00+00:00 [running]> on host 9958f290dc4a
[2024-03-18T06:40:36.296+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_2_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-17T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-17T00:00:00+00:00'
[2024-03-18T06:40:36.299+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-18T06:40:36.315+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_2.csv https://data.cityofchicago.org/resource/3i3m-jwuy.csv?\\$limit=300000']
[2024-03-18T06:40:36.514+0000] {subprocess.py:86} INFO - Output:
[2024-03-18T06:40:36.548+0000] {subprocess.py:93} INFO - --2024-03-18 06:40:36--  https://data.cityofchicago.org/resource/3i3m-jwuy.csv?$limit=300000
[2024-03-18T06:40:36.578+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.199, 52.206.140.205
[2024-03-18T06:40:36.580+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-18T06:40:37.990+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-18T06:40:37.991+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-18T06:40:37.991+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_2.csv’
[2024-03-18T06:40:37.992+0000] {subprocess.py:93} INFO - 
[2024-03-18T06:40:38.102+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  448K
[2024-03-18T06:40:38.213+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  455K
[2024-03-18T06:40:38.214+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 19.8M
[2024-03-18T06:40:38.214+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  373M
[2024-03-18T06:40:38.322+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  462K
[2024-03-18T06:40:38.325+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 21.0M
[2024-03-18T06:40:38.329+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 14.2M
[2024-03-18T06:40:38.330+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 34.4M
[2024-03-18T06:40:38.433+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  486K
[2024-03-18T06:40:38.443+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 8.52M
[2024-03-18T06:40:38.444+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 9.04M
[2024-03-18T06:40:38.445+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  460M
[2024-03-18T06:40:38.445+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  318M
[2024-03-18T06:40:38.563+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  419K
[2024-03-18T06:40:38.565+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 53.2M
[2024-03-18T06:40:38.565+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  430M
[2024-03-18T06:40:38.566+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  526M
[2024-03-18T06:40:38.573+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  524M
[2024-03-18T06:40:38.691+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  546K
[2024-03-18T06:40:38.696+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 1.26M
[2024-03-18T06:40:38.699+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 12.2M
[2024-03-18T06:40:38.699+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  214M
[2024-03-18T06:40:38.705+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  191M
[2024-03-18T06:40:38.706+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... .......... 10.3M
[2024-03-18T06:40:38.706+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  542M
[2024-03-18T06:40:38.707+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  365M
[2024-03-18T06:40:38.707+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  495M
[2024-03-18T06:40:38.707+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  484M
[2024-03-18T06:40:38.707+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  549M
[2024-03-18T06:40:38.708+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  396M
[2024-03-18T06:40:38.708+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  529M
[2024-03-18T06:40:38.708+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  441M
[2024-03-18T06:40:38.708+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  537M
[2024-03-18T06:40:38.709+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  559M
[2024-03-18T06:40:38.767+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  816K
[2024-03-18T06:40:38.792+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... .......... 16.4M
[2024-03-18T06:40:38.804+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  468M
[2024-03-18T06:40:38.806+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  480M
