[2024-03-18T06:40:30.211+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_3_task scheduled__2024-03-17T00:00:00+00:00 [queued]>
[2024-03-18T06:40:30.435+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_3_task scheduled__2024-03-17T00:00:00+00:00 [queued]>
[2024-03-18T06:40:30.456+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-18T06:40:30.678+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_3_task> on 2024-03-17 00:00:00+00:00
[2024-03-18T06:40:30.780+0000] {standard_task_runner.py:60} INFO - Started process 180 to run task
[2024-03-18T06:40:30.842+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_3_task', 'scheduled__2024-03-17T00:00:00+00:00', '--job-id', '193', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpvref6oqb']
[2024-03-18T06:40:30.856+0000] {standard_task_runner.py:88} INFO - Job 193: Subtask download_dataset_3_task
[2024-03-18T06:40:31.422+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_3_task scheduled__2024-03-17T00:00:00+00:00 [running]> on host 9958f290dc4a
[2024-03-18T06:40:33.384+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_3_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-17T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-17T00:00:00+00:00'
[2024-03-18T06:40:33.387+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-18T06:40:33.405+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_3.csv https://data.cityofchicago.org/resource/w98m-zvie.csv?\\$limit=300000']
[2024-03-18T06:40:33.631+0000] {subprocess.py:86} INFO - Output:
[2024-03-18T06:40:33.653+0000] {subprocess.py:93} INFO - --2024-03-18 06:40:33--  https://data.cityofchicago.org/resource/w98m-zvie.csv?$limit=300000
[2024-03-18T06:40:33.879+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.199, 52.206.140.205
[2024-03-18T06:40:33.889+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-18T06:40:35.559+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-18T06:40:35.561+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-18T06:40:35.562+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_3.csv’
[2024-03-18T06:40:35.563+0000] {subprocess.py:93} INFO - 
[2024-03-18T06:40:35.687+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  389K
[2024-03-18T06:40:35.775+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  579K
[2024-03-18T06:40:35.776+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 18.3M
[2024-03-18T06:40:35.777+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  195M
[2024-03-18T06:40:35.889+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  455K
[2024-03-18T06:40:35.890+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  437M
[2024-03-18T06:40:35.890+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 14.4M
[2024-03-18T06:40:35.890+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  263M
[2024-03-18T06:40:35.989+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  510K
[2024-03-18T06:40:35.995+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 7.84M
[2024-03-18T06:40:35.997+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 51.8M
[2024-03-18T06:40:35.997+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 80.8M
[2024-03-18T06:40:35.998+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  117M
[2024-03-18T06:40:36.106+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  458K
[2024-03-18T06:40:36.111+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 10.9M
[2024-03-18T06:40:36.112+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  111M
[2024-03-18T06:40:36.112+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  507M
[2024-03-18T06:40:36.113+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  567M
[2024-03-18T06:40:36.114+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  513M
[2024-03-18T06:40:36.115+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 91.2M
[2024-03-18T06:40:36.115+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  296M
[2024-03-18T06:40:36.118+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  534M
[2024-03-18T06:40:36.118+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  548M
[2024-03-18T06:40:36.204+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  550K
[2024-03-18T06:40:36.246+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... .......... 1.47M
[2024-03-18T06:40:36.251+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 6.01M
[2024-03-18T06:40:36.253+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... .......... 65.1M
[2024-03-18T06:40:36.255+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 16.7M
[2024-03-18T06:40:36.261+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... .......... 18.0M
[2024-03-18T06:40:36.263+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  189M
[2024-03-18T06:40:36.267+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  321M
[2024-03-18T06:40:36.269+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  279M
[2024-03-18T06:40:36.270+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  390M
[2024-03-18T06:40:36.271+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... .......... 15.9M
[2024-03-18T06:40:36.272+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  332M
[2024-03-18T06:40:36.273+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  336M
[2024-03-18T06:40:36.283+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  367M
[2024-03-18T06:40:36.286+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  418M
[2024-03-18T06:40:36.294+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  271M
[2024-03-18T06:40:36.295+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  306M
[2024-03-18T06:40:36.296+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  367M
[2024-03-18T06:40:36.297+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  356M
[2024-03-18T06:40:36.300+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... .......... 7.46M
[2024-03-18T06:40:36.300+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  157M
[2024-03-18T06:40:36.314+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... .......... 1.02M
[2024-03-18T06:40:36.315+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... .......... 17.9M
[2024-03-18T06:40:36.338+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... .......... 1.99M
[2024-03-18T06:40:36.347+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... .......... 5.47M
[2024-03-18T06:40:36.348+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... .......... 75.9M
[2024-03-18T06:40:36.380+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... .......... 1.77M
[2024-03-18T06:40:36.381+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... .......... 10.8M
[2024-03-18T06:40:36.416+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... .......... 1.29M
[2024-03-18T06:40:36.418+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... .......... 34.9M
[2024-03-18T06:40:36.450+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... .......... 1.50M
[2024-03-18T06:40:36.458+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... .......... 7.45M
[2024-03-18T06:40:36.499+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... .......... 1.17M
[2024-03-18T06:40:36.501+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... .......... 31.5M
[2024-03-18T06:40:36.534+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... .......... 1.54M
[2024-03-18T06:40:36.556+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... .......... 2.08M
[2024-03-18T06:40:36.591+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... .......... 1.82M
[2024-03-18T06:40:36.599+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  300M
[2024-03-18T06:40:36.602+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... .......... 5.29M
[2024-03-18T06:40:36.618+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... .......... 1.84M
[2024-03-18T06:40:36.625+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  480M
[2024-03-18T06:40:36.656+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... .......... 1.30M
[2024-03-18T06:40:36.657+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... .......... 70.3M
[2024-03-18T06:40:36.727+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  709K
[2024-03-18T06:40:36.730+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... .......... 32.4M
[2024-03-18T06:40:36.783+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... .......... 1.22M
[2024-03-18T06:40:36.789+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  201M
[2024-03-18T06:40:36.814+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... .......... 1.63M
[2024-03-18T06:40:36.816+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... .......... 7.83M
[2024-03-18T06:40:36.845+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... .......... 1.26M
[2024-03-18T06:40:36.847+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... .......... 83.0M
[2024-03-18T06:40:36.879+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... .......... 1.40M
[2024-03-18T06:40:36.880+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  230M
[2024-03-18T06:40:36.880+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... ..........  301M
[2024-03-18T06:40:36.962+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... ..........  614K
[2024-03-18T06:40:36.965+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... .......... 12.6M
[2024-03-18T06:40:36.967+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... .......... 19.5M
[2024-03-18T06:40:36.968+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... ..........  490M
[2024-03-18T06:40:37.009+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... .......... 1.23M
[2024-03-18T06:40:37.018+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... ..........  237M
[2024-03-18T06:40:37.076+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... ..........  798K
[2024-03-18T06:40:37.084+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... .......... 3.54M
[2024-03-18T06:40:37.085+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... ..........  459M
[2024-03-18T06:40:37.099+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... .......... 3.53M
[2024-03-18T06:40:37.153+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... ..........  920K
[2024-03-18T06:40:37.173+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... ..........  270M
[2024-03-18T06:40:37.174+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... ..........  208M
[2024-03-18T06:40:37.185+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... .......... 1.51M
[2024-03-18T06:40:37.191+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... ..........  488M
[2024-03-18T06:40:37.220+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... .......... 1.44M
[2024-03-18T06:40:37.223+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... .......... 19.3M
[2024-03-18T06:40:37.269+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... .......... 1.04M
[2024-03-18T06:40:37.272+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... .......... 16.7M
[2024-03-18T06:40:37.307+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... .......... 1.37M
[2024-03-18T06:40:37.308+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... .......... 60.1M
[2024-03-18T06:40:37.344+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... .......... 1.36M
[2024-03-18T06:40:37.346+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... .......... 28.7M
[2024-03-18T06:40:37.347+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 37.1M
[2024-03-18T06:40:37.399+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... ..........  961K
[2024-03-18T06:40:37.425+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 1.89M
[2024-03-18T06:40:37.427+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 24.6M
