[2024-03-18T06:40:30.826+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_4_task scheduled__2024-03-17T00:00:00+00:00 [queued]>
[2024-03-18T06:40:30.999+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_4_task scheduled__2024-03-17T00:00:00+00:00 [queued]>
[2024-03-18T06:40:31.012+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-18T06:40:31.214+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_4_task> on 2024-03-17 00:00:00+00:00
[2024-03-18T06:40:31.285+0000] {standard_task_runner.py:60} INFO - Started process 183 to run task
[2024-03-18T06:40:31.316+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_4_task', 'scheduled__2024-03-17T00:00:00+00:00', '--job-id', '198', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmp62lb_h3_']
[2024-03-18T06:40:31.350+0000] {standard_task_runner.py:88} INFO - Job 198: Subtask download_dataset_4_task
[2024-03-18T06:40:32.496+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_4_task scheduled__2024-03-17T00:00:00+00:00 [running]> on host 9958f290dc4a
[2024-03-18T06:40:34.012+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_4_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-17T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-17T00:00:00+00:00'
[2024-03-18T06:40:34.050+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-18T06:40:34.059+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_4.csv https://data.cityofchicago.org/resource/qzdf-xmn8.csv?\\$limit=300000']
[2024-03-18T06:40:34.178+0000] {subprocess.py:86} INFO - Output:
[2024-03-18T06:40:34.280+0000] {subprocess.py:93} INFO - --2024-03-18 06:40:34--  https://data.cityofchicago.org/resource/qzdf-xmn8.csv?$limit=300000
[2024-03-18T06:40:34.347+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.199, 52.206.140.205
[2024-03-18T06:40:34.350+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-18T06:40:36.372+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-18T06:40:36.379+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-18T06:40:36.379+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_4.csv’
[2024-03-18T06:40:36.380+0000] {subprocess.py:93} INFO - 
[2024-03-18T06:40:36.479+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  481K
[2024-03-18T06:40:36.584+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  480K
[2024-03-18T06:40:36.601+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 23.5M
[2024-03-18T06:40:36.604+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 3.46M
[2024-03-18T06:40:36.697+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  518K
[2024-03-18T06:40:36.706+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  322M
[2024-03-18T06:40:36.730+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  333M
[2024-03-18T06:40:36.784+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  204M
[2024-03-18T06:40:36.805+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  466K
[2024-03-18T06:40:36.806+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  226M
[2024-03-18T06:40:36.830+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  348M
[2024-03-18T06:40:36.852+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  236M
[2024-03-18T06:40:36.860+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 4.35M
[2024-03-18T06:40:36.904+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  567K
[2024-03-18T06:40:36.968+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  336M
[2024-03-18T06:40:36.968+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 7.39M
[2024-03-18T06:40:36.975+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  502M
[2024-03-18T06:40:36.982+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  306M
[2024-03-18T06:40:37.031+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  441K
[2024-03-18T06:40:37.032+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 19.7M
[2024-03-18T06:40:37.039+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  331M
[2024-03-18T06:40:37.042+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  287M
[2024-03-18T06:40:37.045+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  287M
